clause_id,clause,reply,remark,answer,times_used
1,Drawings and general provisions of the Contract. inc ludin g General and Supplementary Conditions and Division I Specification Sections. apply to this Section.,Yes,,Comply,1
2,"The central battery system and all its components shall be designed and installed to meet the local code requirements and the respective DIN/VDE, BS. IEC, NEMA, UL or equivalent standards.",Yes,,Comply,1
3,"All products used in the central battery system shall be manufactured by an ISO 9001 certified company, complying with the relevant standards and shall bear the CE certification for Electro­ Magnetic compatibility.",Yes,,Comply,3
4,"Related Sections: the following sections of DIVIS ION 26 contain requirements that relate to this section: ""Low Voltage Conductors and Cables"" ""Grounding and Bonding for Electrical Systems "" ""Low Voltage Circuit Breakers"" ""Exterior lighting""&"" Interior Lighting Fixtures, Lamps, and Ballasts"" Refer also to division 25 section ""Integrated automation"" for connection to the SCA DA/PLC.",Yes,,Comply,1
5,THD: total harmonic distortion.,Comply,,Comply,2
5,THD: total harmonic distortion.,Yes,,Comply,1
6,"Product Data: include data on features, components, ratings, and performance for each product specified in this Section.",Yes,,Comply,3
7,""" Yes"" interprets full unconditional compliance.",Yes,,Comply,9
7,""" Yes"" interprets full unconditional compliance.",Yes.,,Comply,5
7,""" Yes"" interprets full unconditional compliance.",YES,,Comply,3
8,""" No"" interprets a deviation ( to be clearly indicated as remark or note in the dedicated column),",Yes,,Comply,9
8,""" No"" interprets a deviation ( to be clearly indicated as remark or note in the dedicated column),",Yes.,,Comply,5
8,""" No"" interprets a deviation ( to be clearly indicated as remark or note in the dedicated column),",YES,,Comply,3
9,"' Not Applicable"" where the case is.",Yes.,,Comply,5
9,"' Not Applicable"" where the case is.",Yes,,Comply,3
9,"' Not Applicable"" where the case is.",YES,,Comply,3
10,"It should be noted that other comments li k e ""noted "" or ""partial compliance"" are unacceptable and will be interpreted as a non compliance,",Yes,,Comply,1
11,"Shop Drawings: detail fabrication, internal and interconnecting wiring, and installation of Central Battery system. Include dimensioned plan, elevation views, and details of control panels. Show access and clearance requirements. Differentiate between field-installed and factory-installed wiring and components.",Yes,,Comply,1
12,Product Certificates: signed by manufacturers of central battery system certifying that the products furnished comply with requirements.,Yes,,Comply,3
13,Factory Test Reports: comply with specified requirements.,Yes,,Comply,3
14,Maintenance Data: for system and products to include in the maintenance manuals specified in Division I. Include the following:,Yes,,Comply,3
15,Lists of spare parts and replacement components recommended to be stored al the Project site tor ready access.,Yes,,Comply,1
16,Detailed operating instructions covering operation under both normal and abnormal conditions.,Yes,,Comply,2
16,Detailed operating instructions covering operation under both normal and abnormal conditions.,Comply,,Comply,2
16,Detailed operating instructions covering operation under both normal and abnormal conditions.,Yes,Operating instruction will be part of O&M manual,Comply,1
17,Warranties: special warranties specified in this Section.,Yes,,Comply,2
17,Warranties: special warranties specified in this Section.,Yes,5 years warranty is provided,Comply,1
18,Comply with NFPA 70 and 101.,Yes,,Comply,1
19,"Source Limitation s: obtain Central battery system. including components, from a single manufacturer with responsibility for entire system.",Yes,,Comply,1
20,"Store equipment in spaces with environments that are controlled within manufacturer's ambient temperature and humidity tolerances for non operating equipment,",Yes,,Comply,3
21,"General Warranty: the special warranty specified in this Article shall 1101 deprive the Owner of other rights the Owner may have under other provisions of the Contract Documents and shall be in addition to, and run concurrent with, other warranties made by the Contractor under requirements of the Contract Documents.",Yes,5 Years warranty is provided,Comply,1
22,"Special Warranty for Batteries: a written warranty, signed by manufacturer and principal Installer, agreeing to replace Central Battery System storage batteries that fail in materials or workmanship within the specified warranty period.",,Proposed Central battery System has warranty of 1 year from date of handing over & batteries has warranty of 10 years from the date of handing over,,2
22,"Special Warranty for Batteries: a written warranty, signed by manufacturer and principal Installer, agreeing to replace Central Battery System storage batteries that fail in materials or workmanship within the specified warranty period.",Yes,,Comply,1
23,"Special Warranty Period for Batteries: 20 years from date of Substantial Completion. A fulI warranty applies to the first year of the period, and a prorated warranty applies to the last 19 years.",Yes,Life time of proposed Ropag Batteries is minimum 12 years in 20-25C Temperature,Comply,1
24,"Furnish extra materials described below that match products installed, are packaged with protective covering for storage, and are identified with labels describing contents. Deliver extra materials to Owner.",Not Applicable,,Not applicable,2
24,"Furnish extra materials described below that match products installed, are packaged with protective covering for storage, and are identified with labels describing contents. Deliver extra materials to Owner.",Yes,,Comply,1
25,"Fuses: 1 for every 10 of each type and rating, but not less than 1 of each.",Yes,,Comply,1
26,Cabinet Ventilation Filters: One complete set.,Not Applicable,,Not applicable,2
26,Cabinet Ventilation Filters: One complete set.,Yes,,Comply,1
27,Available manufacturer : subject to compliance with requirements. Refer to list of approved manufacturers /suppliers,Yes,,Comply,3
28,System: is to be static. so lid state self testing. self diagnostic type. suitable for the connected load category which consists ma inl y of m aint a ined fluorescent and compact fluorescent lamps. The system is to be of active standby type to ensure continuous monitoring of the inverter output under healthy power supply conditions.,"Yes ,",,Comply,1
29,Description: the system is to comprise complete rectifier/charger - battery - inverter system with automatic change-over static switch to secure emergency AC power supply for feeding emergency lighting load in the event of normal power failure.,,Proposed non-inverter AC/DC type Central Battery system for this project.,,2
29,Description: the system is to comprise complete rectifier/charger - battery - inverter system with automatic change-over static switch to secure emergency AC power supply for feeding emergency lighting load in the event of normal power failure.,Yes,,Comply,1
30,"Capacity: the system is to secure a minimum period of continuity of no-break battery back-up for 3 hours at power rating of the system in case of failure of normal power supply and maintain output voltage, frequency and phase deviation within specified tolerances. Output power rating of the system is to be as shown on the Drawings.",Yes,,Comply,3
31,"Under Normal Conditions: the load to be fed from the normal power supply through the change-over switch and the battery is re-charged up to full charge state via the battery charger. The inverter is maintained in an idling conditions ready to feed the load, with continuous monitoring of its output for healthy conditions with an alarm to be initiated in case of malfunction.",,Proposed non-inverter AC/DC type Central Battery System for this project.,,2
31,"Under Normal Conditions: the load to be fed from the normal power supply through the change-over switch and the battery is re-charged up to full charge state via the battery charger. The inverter is maintained in an idling conditions ready to feed the load, with continuous monitoring of its output for healthy conditions with an alarm to be initiated in case of malfunction.",Yes,,Comply,1
32,"Transfer to Emergency Power Supply: Upon normal power supply failure, the load is to be automatically transferred to the inverter through the change-over switch and power is to be supplied from the batteries until the normal supply returns, then the load is retransferred to the normal supply.",,Proposed non-inverter AC/DC type Central Battery System for this project.,,2
32,"Transfer to Emergency Power Supply: Upon normal power supply failure, the load is to be automatically transferred to the inverter through the change-over switch and power is to be supplied from the batteries until the normal supply returns, then the load is retransferred to the normal supply.",Yes,,Comply,1
